"119-Improper Restriction of Operations within the Bounds of a Memory Buffer",15
"20-Improper Input Validation",11
"264-Permissions",10
"16-Configuration",8
"94-Improper Control of Generation of Code ('Code Injection')",7
"200-Information Exposure",7
"310-Cryptographic Issues",5
"59-Improper Link Resolution Before File Access ('Link Following')",4
"255-Credentials Management",4
"287-Improper Authentication",4
"22-Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal')",3
"362-Concurrent Execution using Shared Resource with Improper Synchronization ('Race Condition')",2
"79-Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting')",1
"399-Resource Management Errors",1
