ID, frequency
From 1996 to 2001
"8","Buffer Overflow in an API Call",,26
"9","Buffer Overflow in Local Command-Line Utilities",,26
"10","Buffer Overflow via Environment Variables",,26
"14","Client-side Injection-induced Buffer Overflow",,26
"45","Buffer Overflow via Symbolic Links",,26
"42","MIME Conversion",,26
"46","Overflow Variables and Tags",,26
"24","Filter Failure through Buffer Overflow",,26
"47","Buffer Overflow via Parameter Expansion",,26
"22","Exploiting Trust in Client",,22
From 2002 to 2006
"45","Buffer Overflow via Symbolic Links",,476
"47","Buffer Overflow via Parameter Expansion",,476
"24","Filter Failure through Buffer Overflow",,476
"46","Overflow Variables and Tags",,476
"14","Client-side Injection-induced Buffer Overflow",,476
"42","MIME Conversion",,476
"10","Buffer Overflow via Environment Variables",,476
"9","Buffer Overflow in Local Command-Line Utilities",,476
"8","Buffer Overflow in an API Call",,476
"91","XSS in IMG Tags",,361
From 2007 to 2011
"108","Command Line Execution through SQL Injection",,4769
"7","Blind SQL Injection",,4715
"109","Object Relational Mapping Injection",,4715
"110","SQL Injection through SOAP Parameter Tampering",,4715
"66","SQL Injection",,4715
"244","Cross-Site Scripting via Encoded URI Schemes ",,4622
"106","Cross Site Scripting through Log Files",,4622
"91","XSS in IMG Tags",,4622
"86","Embedding Script (XSS) in HTTP Headers",,4622
"85","AJAX Fingerprinting",,4622
From 2012 to 2016
"47","Buffer Overflow via Parameter Expansion",,5459
"42","MIME Conversion",,5459
"8","Buffer Overflow in an API Call",,5459
"9","Buffer Overflow in Local Command-Line Utilities",,5459
"10","Buffer Overflow via Environment Variables",,5459
"14","Client-side Injection-induced Buffer Overflow",,5459
"45","Buffer Overflow via Symbolic Links",,5459
"24","Filter Failure through Buffer Overflow",,5459
"46","Overflow Variables and Tags",,5459
"106","Cross Site Scripting through Log Files",,5122
